"filename", "language", "Java", "comment", "blank", "total"
"f:\Fabela\sw2-1-2025\Spingboot_Backend\proyectosw2\src\main\java\com\example\proyectosw2\Resolver\UsuarioResolver.java", "Java", 12, 0, 8, 20
"Total", "-", 12, 0, 8, 20
